Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Moldova, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
Mongolia,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0
Montenegro,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Montserrat,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Morocco,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,3.0,-1.0,1.0,2.0,1.0,3.0,-1.0,2.0,-1.0
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,1.0,4.0,1.0,2.0,5.0,3.0,3.0,4.0
Myanmar,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,6.0,5.0,2.0,4.0,3.0,2.0,1.0,-1.0
Namibia,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
Nepal,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0
Netherlands Antilles,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Netherlands, The","Climate related disasters frequency, Number of Disasters: TOTAL",3.0,-1.0,-1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0
New Caledonia,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
New Zealand,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,2.0,1.0,2.0,1.0,-1.0,3.0,4.0,1.0
Nicaragua,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,1.0,1.0,2.0,2.0,-1.0,2.0,-1.0,2.0
Niger,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0
Nigeria,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
"North Macedonia, Republic of ","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
Northern Mariana Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
Norway,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
Oman,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0
Pakistan,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,3.0,7.0,8.0,5.0,2.0,10.0,6.0,6.0,4.0
"Palau, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
Panama,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,2.0,1.0,1.0,1.0,-1.0,3.0,2.0,1.0
Papua New Guinea,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,3.0,1.0,-1.0,-1.0,2.0,5.0,-1.0,-1.0
Paraguay,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,3.0,1.0,-1.0,2.0,4.0,-1.0,2.0,-1.0
Peru,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,4.0,3.0,1.0,3.0,-1.0,5.0,4.0,8.0,2.0
Philippines,"Climate related disasters frequency, Number of Disasters: TOTAL",13.0,12.0,16.0,10.0,11.0,8.0,9.0,7.0,13.0,9.0
"Poland, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0
Portugal,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,1.0,1.0,2.0,3.0,1.0,-1.0,-1.0,3.0
Qatar,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
Romania,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0
