Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Morocco,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0
"Mozambique, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,1.0,4.0,1.0,2.0,5.0,3.0,3.0,4.0
Myanmar,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,6.0,5.0,2.0,4.0,3.0,2.0,1.0,3.0
Namibia,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.1666666666666667,1.0,1.1666666666666667,1.0,1.0,1.1666666666666667,1.0,1.0,1.1666666666666667
Nepal,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0
"Netherlands, The","Climate related disasters frequency, Number of Disasters: TOTAL",3.0,1.5714285714285714,1.5714285714285714,1.0,1.5714285714285714,2.0,1.0,1.0,2.0,1.0
New Zealand,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0
Nicaragua,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,1.0,1.0,2.0,2.0,1.625,2.0,1.625,2.0
Niger,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0
Nigeria,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
"North Macedonia, Republic of ","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,2.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.1666666666666667
Oman,"Climate related disasters frequency, Number of Disasters: TOTAL",1.2857142857142858,1.2857142857142858,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.2857142857142858
Pakistan,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,3.0,7.0,8.0,5.0,2.0,10.0,6.0,6.0,4.0
Panama,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,2.0,1.0,1.0,1.0,1.4444444444444444,3.0,2.0,1.0
Papua New Guinea,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,3.0,1.0,2.3333333333333335,2.3333333333333335,2.0,5.0,2.3333333333333335,2.3333333333333335
Paraguay,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,3.0,1.0,2.4285714285714284,2.0,4.0,2.4285714285714284,2.0,2.4285714285714284
Peru,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,4.0,3.0,1.0,3.0,3.6666666666666665,5.0,4.0,8.0,2.0
Philippines,"Climate related disasters frequency, Number of Disasters: TOTAL",13.0,12.0,16.0,10.0,11.0,8.0,9.0,7.0,13.0,9.0
"Poland, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0
Portugal,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0
Romania,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.5555555555555556
Russian Federation,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,2.0,3.0,2.0,2.0,5.0,2.7777777777777777,5.0,3.0
Rwanda,"Climate related disasters frequency, Number of Disasters: TOTAL",2.5,2.5,1.0,2.0,2.0,4.0,2.0,5.0,1.0,3.0
Saudi Arabia,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0
Senegal,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Serbia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,5.0,1.75,2.0,1.0,1.0,1.0,1.0,1.0,1.75
Sierra Leone,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.2,1.0,1.2,1.0,1.2,2.0,1.2,1.2,1.0
Slovak Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Solomon Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,3.0,1.4,1.4,1.0,1.4,1.0,1.4,1.4
Somalia,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,5.0,1.0,2.4444444444444446,2.0,3.0,4.0,1.0,1.0
South Africa,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,3.0,5.0,3.4444444444444446,6.0,2.0,4.0,8.0
"South Sudan, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.8333333333333333,1.8333333333333333,2.0,1.8333333333333333,1.8333333333333333,3.0,1.0,2.0,1.0
